country_name,population,yearly_change,net_change,density,land_area,migrants,fertility_rate,median_age,urban_population_percentage,world_share_percentage
Honduras,11184760,1.63,178910,100,111890,−4603,2.42,24.6,58.8,0.13
Tajikistan,10978599,1.78,191865,78,139960,−20198,2.96,22.4,28,0.13
Papua New Guinea,10947848,1.72,185031,24,452860,−534,2.99,23,12.7,0.13
Cuba,10892659,−0.41,−44544,102,106440,−22086,1.46,42.5,82.4,0.13
Sweden,10701047,0.42,44414,26,410340,42755,1.45,40.4,87.7,0.13
Czech Republic (Czechia),10527781,−0.77,−81458,136,77240,13400,1.47,44.3,75.7,0.13
Azerbaijan,10454855,0.55,57142,126,82658,7708,1.66,34.1,59.1,0.13
Portugal,10395362,−0.16,−16472,113,91590,16968,1.52,47.2,66.9,0.13
Togo,9930918,2.15,209310,183,54390,−12642,4.01,19.2,44.8,0.12
Greece,9897115,−0.42,−41729,77,128900,14649,1.34,47.1,90,0.12
Israel,9647689,1.37,130508,446,21640,13023,2.73,29.3,91.5,0.12
Hungary,9585818,−0.48,−46469,106,90530,12936,1.5,44.2,72.4,0.12
Austria,9107266,−0.07,−6308,111,82409,13212,1.34,43.9,59,0.11
Switzerland,9007798,0.45,40391,228,39516,34096,1.45,43.2,74.6,0.11
Sierra Leone,8996745,2.01,176951,125,72180,−12277,3.53,19.9,46,0.11
Belarus,8937018,−0.67,−60585,44,202910,−3608,1.23,41.8,85.1,0.11
Laos,7974017,1.28,100971,35,230800,−11125,2.33,25.3,38.9,0.096
Turkmenistan,7736632,1.55,117785,16,469930,11792,2.6,27.3,46.7,0.093
Libya,7539851,1.09,81296,4,1759540,2610,2.21,28,77.7,0.091
Kyrgyzstan,7400465,1.45,105431,39,191800,39,2.72,25.5,35.5,0.089
Hong Kong,7378602,−0.24,−17474,"7,027",1050,−12576,0.75,47.9,–,0.089
Nicaragua,7097329,1.28,89827,59,120340,−8485,2.16,26.3,58.2,0.086
Paraguay,7095279,1.17,82201,18,397300,−12243,2.37,27.3,68.3,0.085
Bulgaria,6667659,−0.7,−46901,61,108560,−5722,1.74,45,77.4,0.080
Serbia,6641964,−0.7,−47075,76,87460,−5883,1.5,44.7,74.2,0.080
Congo,6637785,2.36,153348,19,341500,−3298,3.99,18.7,70.3,0.080
El Salvador,6391253,0.4,25750,308,20720,−23530,1.74,28.4,80.5,0.077
Denmark,6023520,0.35,21013,142,42430,18360,1.52,41.3,87.6,0.073
Singapore,5905748,0.6,34998,"8,437",700,13379,0.97,36.8,–,0.071
Lebanon,5897467,0.82,48046,576,10230,−6685,2.19,29,84.4,0.071
Liberia,5853949,2.14,122743,61,96320,−1051,3.71,19,55.7,0.071
Central African Republic,5698984,3.37,185702,9,622980,−15608,5.69,14.6,44.5,0.069
State of Palestine,5692790,1.85,103167,946,6020,−20055,3.13,20.3,85,0.069
Oman,5671458,3.22,176767,18,309500,79740,2.44,29.8,89.6,0.068
Norway,5652989,0.53,29918,15,365268,12047,1.42,40.1,86.5,0.068
Finland,5621739,−0.03,−1590,18,303890,12666,1.3,43.4,87.1,0.068
Mauritania,5461319,2.75,146254,5,1030700,−5842,4.49,17.5,60.9,0.066
Slovakia,5451342,−0.43,−23539,113,48088,134,1.57,42.8,54.3,0.066
Ireland,5356950,0.92,48911,78,68890,32022,1.6,39.2,62.2,0.065
New Zealand,5287479,0.68,35580,20,263310,16435,1.64,38,83.7,0.064
Costa Rica,5174789,0.42,21839,101,51060,966,1.31,35.7,85.9,0.062
Kuwait,5102773,1.53,76695,286,17820,30696,1.49,34.8,91.3,0.061
Panama,4625718,1.19,54529,62,74340,5665,2.07,30.6,71.1,0.056
Croatia,3822345,−0.67,−25815,68,55960,−2491,1.47,45.5,62.2,0.046
Georgia,3804642,−0.05,−2029,55,69490,1215,1.78,37.6,62.2,0.046
Eritrea,3682669,2.1,75666,36,101000,−7520,3.55,19.5,75.9,0.044
Mongolia,3556798,1.13,39698,2,1553560,12,2.54,27,67.3,0.043
Uruguay,3382537,−0.06,−2151,19,175020,−1413,1.38,36.7,–,0.041
Puerto Rico,3222688,−0.39,−12601,363,8870,1056,0.94,46.2,–,0.039
Qatar,3173559,1.85,57670,273,11610,24791,1.69,33.4,96.2,0.038
Namibia,3153246,1.95,60430,4,823290,47,3.13,21.5,55.2,0.038
Bosnia and Herzegovina,3114242,−0.82,−25853,61,51000,−7581,1.5,46.1,57.1,0.038
Moldova,2961253,−1.16,−34853,90,32850,−16732,1.72,39.1,58.5,0.036
Armenia,2930915,−0.73,−21450,103,28470,−27000,1.71,37.2,64.4,0.035
Gambia,2884079,2.2,61986,285,10120,−2894,3.7,18.8,62.2,0.035
Jamaica,2833403,−0.13,−3674,262,10830,−11683,1.33,33.3,60.7,0.034
Lithuania,2797338,−1.16,−32806,45,62674,−4846,1.22,42.6,68.9,0.034
Albania,2751025,−0.74,−20483,100,27400,−22595,1.32,37.8,71.6,0.033
Gabon,2647399,2.09,54269,10,257670,1152,3.49,21.6,83.8,0.032
Botswana,2603388,1.61,41266,5,566730,−4169,2.63,23.7,76.1,0.031
Lesotho,2389336,1.1,26011,79,30360,−4876,2.61,22.1,33.3,0.029
Guinea-Bissau,2297808,2.15,48293,82,28120,−1893,3.62,19.6,46.6,0.028
Slovenia,2114573,−0.12,−2499,105,20140,2609,1.58,45,56.1,0.025
Equatorial Guinea,1984468,2.37,46037,71,28050,3533,3.96,20.9,64.2,0.024
Latvia,1835935,−0.95,−17624,30,62200,−360,1.35,43.8,67.7,0.022
North Macedonia,1804063,−0.54,−9728,72,25220,−5731,1.47,41.4,70.3,0.022
Bahrain,1675572,1.96,32240,"2,205",760,14280,1.77,33.4,–,0.020
Trinidad and Tobago,1513268,0.14,2113,295,5130,160,1.52,38.2,49.1,0.018
Timor-Leste,1436923,1.3,18406,97,14870,−1695,2.5,22.1,36.7,0.017
Cyprus,1382334,0.84,11580,150,9240,7210,1.37,39.1,61.1,0.017
Estonia,1331062,−0.98,−13170,31,42390,−716,1.38,43.2,67.5,0.016
Eswatini,1269859,1.09,13685,74,17200,−5493,2.64,22.7,31.7,0.015
