rank,title,year,rating
188,Children of Heaven,19971h 29mPG,8.2 (89K)RateMark as watched
189,Hacksaw Ridge,20162h 19mR,8.1 (675K)RateMark as watched
190,My Neighbor Totoro,19881h 26mG,8.1 (428K)RateMark as watched
191,Gran Torino,20081h 56mR,8.1 (859K)RateMark as watched
192,Ratatouille,20071h 51mG,8.1 (936K)RateMark as watched
193,12 Years a Slave,20132h 14mR,8.1 (784K)RateMark as watched
194,The Grand Budapest Hotel,20141h 39mR,8.1 (964K)RateMark as watched
195,Before Sunrise,19951h 41mR,8.1 (375K)RateMark as watched
196,Memories of Murder,20032h 11mNot Rated,8.1 (263K)RateMark as watched
197,Blade Runner,19821h 57mR,8.1 (878K)RateMark as watched
198,How to Train Your Dragon,20101h 38mPG,8.1 (888K)RateMark as watched
199,Spider-Man: No Way Home,20212h 28mPG-13,8.1 (1M)RateMark as watched
200,Gone Girl,20142h 29mR,8.1 (1.2M)RateMark as watched
201,"Monsters, Inc.",20011h 32mG,8.1 (1.1M)RateMark as watched
202,Jaws,19752h 4mPG,8.1 (733K)RateMark as watched
203,In the Name of the Father,19932h 13mR,8.1 (202K)RateMark as watched
204,Ford v Ferrari,20192h 32mPG-13,8.1 (566K)RateMark as watched
205,Wild Tales,20142h 2mR,8.1 (237K)RateMark as watched
206,The Gold Rush,19251h 35mApproved,8.1 (128K)RateMark as watched
207,Sherlock Jr.,192445mPassed,8.1 (65K)RateMark as watched
208,Mary and Max,20091h 32mNot Rated,8.1 (201K)RateMark as watched
209,The Deer Hunter,19783h 3mR,8.1 (386K)RateMark as watched
210,The Wages of Fear,19532h 36mNot Rated,8.1 (73K)RateMark as watched
211,The General,19261h 18mPassed,8.1 (106K)RateMark as watched
212,Logan,20172h 17mR,8.1 (921K)RateMark as watched
213,Rocky,19762hPG,8.1 (685K)RateMark as watched
214,Mr. Smith Goes to Washington,19392h 9mApproved,8.1 (129K)RateMark as watched
215,Tokyo Story,19532h 17mNot Rated,8.1 (77K)RateMark as watched
216,On the Waterfront,19541h 48mApproved,8.1 (177K)RateMark as watched
217,Pirates of the Caribbean: The Curse of the Black Pearl,20032h 23mPG-13,8.1 (1.3M)RateMark as watched
218,Wild Strawberries,19571h 32mNot Rated,8.1 (124K)RateMark as watched
219,Spotlight,20152h 9mR,8.1 (533K)RateMark as watched
220,A Silent Voice: The Movie,20162h 10mNot Rated,8.2 (139K)RateMark as watched
221,La haine,19951h 38mNot Rated,8.1 (224K)RateMark as watched
222,The Terminator,19841h 47mR,8.1 (999K)RateMark as watched
223,The Sound of Music,19652h 54mG,8.1 (290K)RateMark as watched
224,Jai Bhim,20212h 44mApproved,8.6 (233K)RateMark as watched
225,The Third Man,19491h 44mApproved,8.1 (195K)RateMark as watched
226,Maharaja,20242h 21m,8.3 (81K)RateMark as watched
227,The Big Lebowski,19981h 57mR,8.1 (914K)RateMark as watched
228,The Best Years of Our Lives,19462h 50mApproved,8.1 (77K)RateMark as watched
229,The Seventh Seal,19571h 36mNot Rated,8.1 (215K)RateMark as watched
230,Before Sunset,20041h 20mR,8.1 (313K)RateMark as watched
231,Chainsaw Man - The Movie: Reze Arc,20251h 40mR,8.3 (49K)RateMark as watched
232,Room,20151h 58mR,8.1 (479K)RateMark as watched
233,Hotel Rwanda,20042h 1mPG-13,8.1 (391K)RateMark as watched
234,The Incredibles,20041h 55mPG,8.0 (895K)RateMark as watched
235,Platoon,19862hR,8.1 (471K)RateMark as watched
236,Hachi: A Dog's Tale,20091h 33mG,8.1 (341K)RateMark as watched
237,The Exorcist,19732h 2mR,8.1 (496K)RateMark as watched
238,Rush,20132h 3mR,8.1 (556K)RateMark as watched
239,The Iron Giant,19991h 26mPG,8.1 (258K)RateMark as watched
240,The Wizard of Oz,19391h 42mG,8.1 (466K)RateMark as watched
241,Stand by Me,19861h 29mR,8.1 (485K)RateMark as watched
242,The Passion of Joan of Arc,19281h 54mPassed,8.1 (68K)RateMark as watched
243,My Father and My Son,20051h 52mNot Rated,8.2 (100K)RateMark as watched
244,The Battle of Algiers,19662h 1mNot Rated,8.1 (75K)RateMark as watched
245,The Handmaiden,20162h 25mNot Rated,8.1 (201K)RateMark as watched
246,Network,19762h 1mR,8.1 (186K)RateMark as watched
247,Drishyam,20152h 43mNot Rated,8.2 (108K)RateMark as watched
248,Gangs of Wasseypur,20125h 21mNot Rated,8.2 (114K)RateMark as watched
249,The Grapes of Wrath,19402h 9mApproved,8.1 (108K)RateMark as watched
250,To Be or Not to Be,19421h 39mApproved,8.1 (50K)RateMark as watched
