country,population,yearly_change,net_change,density,land_area,migrants,fert_rate,med_age,urban_pop,world_share
United Arab Emirates,"11,574,682",2.02%,"228,682",138,"83,600","87,401",86,86,80.7%,0.14%
Honduras,"11,184,760",1.63%,"178,910",100,"111,890","−4,603",87,87,58.8%,0.13%
Tajikistan,"10,978,599",1.78%,"191,865",78,"139,960","−20,198",88,88,28%,0.13%
Papua New Guinea,"10,947,848",1.72%,"185,031",24,"452,860",−534,89,89,12.7%,0.13%
Cuba,"10,892,659",−0.41%,"−44,544",102,"106,440","−22,086",90,90,82.4%,0.13%
Sweden,"10,701,047",0.42%,"44,414",26,"410,340","42,755",91,91,87.7%,0.13%
Czech Republic (Czechia),"10,527,781",−0.77%,"−81,458",136,"77,240","13,400",92,92,75.7%,0.13%
Azerbaijan,"10,454,855",0.55%,"57,142",126,"82,658","7,708",93,93,59.1%,0.13%
Portugal,"10,395,362",−0.16%,"−16,472",113,"91,590","16,968",94,94,66.9%,0.13%
Togo,"9,930,918",2.15%,"209,310",183,"54,390","−12,642",95,95,44.8%,0.12%
Greece,"9,897,115",−0.42%,"−41,729",77,"128,900","14,649",96,96,90%,0.12%
Israel,"9,647,689",1.37%,"130,508",446,"21,640","13,023",97,97,91.5%,0.12%
Hungary,"9,585,818",−0.48%,"−46,469",106,"90,530","12,936",98,98,72.4%,0.12%
Austria,"9,107,266",−0.07%,"−6,308",111,"82,409","13,212",99,99,59%,0.11%
Switzerland,"9,007,798",0.45%,"40,391",228,"39,516","34,096",100,100,74.6%,0.11%
Sierra Leone,"8,996,745",2.01%,"176,951",125,"72,180","−12,277",101,101,46%,0.11%
Belarus,"8,937,018",−0.67%,"−60,585",44,"202,910","−3,608",102,102,85.1%,0.11%
Laos,"7,974,017",1.28%,"100,971",35,"230,800","−11,125",103,103,38.9%,0.096%
Turkmenistan,"7,736,632",1.55%,"117,785",16,"469,930","11,792",104,104,46.7%,0.093%
Libya,"7,539,851",1.09%,"81,296",4,"1,759,540","2,610",105,105,77.7%,0.091%
Kyrgyzstan,"7,400,465",1.45%,"105,431",39,"191,800",39,106,106,35.5%,0.089%
Hong Kong,"7,378,602",−0.24%,"−17,474","7,027","1,050","−12,576",107,107,–,0.089%
Nicaragua,"7,097,329",1.28%,"89,827",59,"120,340","−8,485",108,108,58.2%,0.086%
