property_title,bhk_type,carpet_area_sqft,price,price_per_sqft,locality,city,transaction_type,construction_status,url
"Multistorey Apartment for Sale in Whitefield, Bangalore. Covered area is 1760.0 Sq-ft. This property belongs to ""Sarang By Sumadhura Phase II"" .","3 BHK Flat for Sale in Whitefield, Bangalore",Sarang By Sumadhura Phase II,"15
+
Photos",Sarang By Sumadhura Phase II,Sarang By Sumadhura Phase II,Sarang By Sumadhura Phase II,Sarang By Sumadhura Phase II,Sarang By Sumadhura Phase II,Sarang By Sumadhura Phase II
"15
+
Photos",,,,,,,,,
"Multistorey Apartment for Sale in Whitefield, Bangalore. Covered area is 1760.0 Sq-ft. This property belongs to ""Sarang By Sumadhura Phase II"" .",,,,,,,,,
"Multistorey Apartment for Sale in Thanisandra Main Road, Bangalore. Covered area is 2191.0 Sq-ft. This property belongs to ""Godrej Woods"" .","3 BHK Flat for Sale in Thanisandra Main Road, Bangalore",Godrej Woods,"10
+
Photos",Godrej Woods,Godrej Woods,Godrej Woods,Godrej Woods,Godrej Woods,Godrej Woods
"Multistorey Apartment for Sale in Thanisandra Main Road, Bangalore. Covered area is 2191.0 Sq-ft. This property belongs to ""Godrej Woods"" .",,,,,,,,,
"Multistorey Apartment for Sale in Devanahalli, Bangalore. Covered area is 1012.0 Sq-ft. This property belongs to ""Sattva Aeropolis"" .","3 BHK Flat for Sale in Devanahalli, Bangalore",Sattva Aeropolis,"31
+
Photos",Sattva Aeropolis,Sattva Aeropolis,Sattva Aeropolis,Sattva Aeropolis,Sattva Aeropolis,Sattva Aeropolis
"Multistorey Apartment for Sale in Devanahalli, Bangalore. Covered area is 1012.0 Sq-ft. This property belongs to ""Sattva Aeropolis"" .",,,,,,,,,
"Multistorey Apartment for Sale in Marathahalli, Bangalore. Covered area is 1665.0 Sq-ft. This property belongs to ""Century Mirai Phase I"" .","3 BHK Flat for Sale in Marathahalli, Bangalore",Century Mirai Phase I,"11
+
Photos",Century Mirai Phase I,Century Mirai Phase I,Century Mirai Phase I,Century Mirai Phase I,Century Mirai Phase I,Century Mirai Phase I
"11
+
Photos",,,,,,,,,
"Multistorey Apartment for Sale in Marathahalli, Bangalore. Covered area is 1665.0 Sq-ft. This property belongs to ""Century Mirai Phase I"" .",,,,,,,,,
"Multistorey Apartment for Sale in Sarjapura, Bangalore. Covered area is 1921.0 Sq-ft. This property belongs to ""ATCO LA VIVANT"" .","3 BHK Flat for Sale in Sarjapura, Bangalore",ATCO LA VIVANT,"33
+
Photos",ATCO LA VIVANT,ATCO LA VIVANT,ATCO LA VIVANT,ATCO LA VIVANT,ATCO LA VIVANT,ATCO LA VIVANT
"Multistorey Apartment for Sale in Sarjapura, Bangalore. Covered area is 1921.0 Sq-ft. This property belongs to ""ATCO LA VIVANT"" .",,,,,,,,,
"Multistorey Apartment for Sale in Whitefield, Bangalore. Covered area is 940.0 Sq-ft. This property belongs to ""Sowparnika Rhythm Of Rain"" .","2 BHK Flat for Sale in Whitefield, Bangalore",Sowparnika Rhythm Of Rain,"13
+
Photos",Sowparnika Rhythm Of Rain,Sowparnika Rhythm Of Rain,Sowparnika Rhythm Of Rain,Sowparnika Rhythm Of Rain,Sowparnika Rhythm Of Rain,Sowparnika Rhythm Of Rain
"13
+
Photos",,,,,,,,,
"Multistorey Apartment for Sale in Whitefield, Bangalore. Covered area is 940.0 Sq-ft. This property belongs to ""Sowparnika Rhythm Of Rain"" .",,,,,,,,,
"Multistorey Apartment for Sale in Krishnarajapura, Bangalore. Covered area is 1902.0 Sq-ft. This property belongs to ""Brigade Lakecrest"" .",3 BHK Apartment for Sale in Krishnarajapura Bangalore,Brigade Lakecrest,"5
+
Photos",Brigade Lakecrest,Brigade Lakecrest,Brigade Lakecrest,Brigade Lakecrest,Brigade Lakecrest,Brigade Lakecrest
"Multistorey Apartment for Sale in Krishnarajapura, Bangalore. Covered area is 1902.0 Sq-ft. This property belongs to ""Brigade Lakecrest"" .",,,,,,,,,
"Multistorey Apartment for Sale in Yeswanthpur, Bangalore. Covered area is 2120.0 Sq-ft. This property belongs to ""Godrej Tiara"" .",3 BHK Apartment for Sale in Yeswanthpur Bangalore,Godrej Tiara,"20
+
Photos",Godrej Tiara,Godrej Tiara,Godrej Tiara,Godrej Tiara,Godrej Tiara,Godrej Tiara
"Multistorey Apartment for Sale in Yeswanthpur, Bangalore. Covered area is 2120.0 Sq-ft. This property belongs to ""Godrej Tiara"" .",,,,,,,,,
"Multistorey Apartment for Sale in Sarjapur Road, Bangalore. Covered area is 1270.0 Sq-ft. This property belongs to ""Godrej Lakeside Orchard"" .",2 BHK Apartment for Sale in Sarjapur Road Bangalore,Godrej Lakeside Orchard,"24
+
Photos",Godrej Lakeside Orchard,Godrej Lakeside Orchard,Godrej Lakeside Orchard,Godrej Lakeside Orchard,Godrej Lakeside Orchard,Godrej Lakeside Orchard
"24
+
Photos",,,,,,,,,
"Multistorey Apartment for Sale in Sarjapur Road, Bangalore. Covered area is 1270.0 Sq-ft. This property belongs to ""Godrej Lakeside Orchard"" .",,,,,,,,,
